,매장,매장주소,구,브랜드,lat,lng
0,강남YMCA점,서울 강남구 논현동,강남구,EDIYA,37.5136787,127.0317124
1,강남구청역아이티웨딩점,"서울 강남구 학동로 338 (논현동, 강남파라곤)",강남구,EDIYA,37.5165513,127.0401391
2,강남논현학동점,서울 강남구 논현로131길 28 (논현동),강남구,EDIYA,37.5151899,127.0275539
3,강남대치점,"서울 강남구 역삼로 415 (대치동, 성진빌딩)",강남구,EDIYA,37.501434,127.052328
4,강남도산점,서울 강남구 도산대로37길 20 (신사동),강남구,EDIYA,37.5222821,127.0314799
5,강남세곡점,"서울 강남구 헌릉로569길 9 (세곡동, 강남지웰파인즈)",강남구,EDIYA,37.4669731,127.1005262
6,강남율현점,"서울 강남구 밤고개로21길 8 (율현동, 세곡프라자)",강남구,EDIYA,37.4735822,127.1078311
7,개포동역점,"서울 강남구 개포로82길 11 (개포동, 삼우빌딩)",강남구,EDIYA,37.4885331,127.0674474
8,건설회관점,서울 강남구 언주로 711 (논현동),강남구,EDIYA,37.5136787,127.0317124
9,대청역점,"서울 강남구 개포로109길 34 (개포동, 대청프라자)",강남구,EDIYA,37.4942156,127.077617
10,대치역점,"서울 강남구 남부순환로 2937 (대치동, 까치빌딩)",강남구,EDIYA,37.4941007,127.061519
11,도곡2동점,"서울 강남구 논현로 142 (도곡동, 동현빌딩)",강남구,EDIYA,37.4824351,127.0429933
12,도산사거리점,서울 강남구 논현동,강남구,EDIYA,37.5136787,127.0317124
13,삼성대치점,"서울 강남구 삼성로64길 32 (대치동, 주성빌딩)",강남구,EDIYA,37.5004196,127.0630716
14,삼성동점,서울 강남구 테헤란로88길 10 (대치동),강남구,EDIYA,37.5068833,127.059437
15,삼성중앙역점,"서울 강남구 삼성로 608 (삼성동, 우창빌딩)",강남구,EDIYA,37.50796,127.0565469
16,삼성한전점,서울 강남구 테헤란로107길 11 (삼성동),강남구,EDIYA,37.5104408,127.0650485
17,선릉역점,"서울 강남구 테헤란로 332 (역삼동, HJ타워)",강남구,EDIYA,37.5038188,127.0481497
18,선릉점,"서울 강남구 선릉로86길 15 (대치동, 현대선릉 GOLD TOWER)",강남구,EDIYA,37.503546,127.0508294
19,선정릉역점,서울 강남구 봉은사로 326 (역삼동),강남구,EDIYA,37.5096546,127.0426648
20,수서역점,"서울 강남구 광평로 280 (수서동, 로즈데일오피스텔)",강남구,EDIYA,37.4873425,127.1030015
21,신사역점,서울 강남구 압구정로2길 62 (신사동),강남구,EDIYA,37.5177943,127.0214406
22,신사점,서울 강남구 도산대로 118 (논현동),강남구,EDIYA,37.5166679,127.0217279
23,압구정로데오역점,서울 강남구 선릉로161길 20 (신사동),강남구,EDIYA,37.527534,127.0388282
24,압구정점,서울 강남구 신사동,강남구,EDIYA,37.5235332,127.0230659
25,압구정현대점,"서울 강남구 압구정로 214 (신사동, 현대종합상가빌딩)",강남구,EDIYA,37.52617730000001,127.0284764
26,역삼더블루점,"서울 강남구 논현로63길 16 (역삼동, 역삼종합시장 더블루)",강남구,EDIYA,37.492909,127.0390723
27,역삼역점,서울 강남구 테헤란로25길 17 (역삼동),강남구,EDIYA,37.5018112,127.0352111
28,역삼월드점,"서울 강남구 역삼로52길 14 (역삼동, 도곡프라자)",강남구,EDIYA,37.4985444,127.0479369
29,역삼점,서울 강남구 논현로72길 13 (역삼동),강남구,EDIYA,37.4958415,127.0405444
30,역삼중앙점,서울 강남구 언주로81길 8 (역삼동),강남구,EDIYA,37.500366,127.042869
31,역삼초교점,서울 강남구 강남대로 314 (역삼동),강남구,EDIYA,37.5000776,127.0385419
32,역삼충현점,서울 강남구 논현로98길 7 (역삼동),강남구,EDIYA,37.5037879,127.0363296
33,역삼플래티넘점,"서울 강남구 테헤란로4길 46 (역삼동, 쌍용플래티넘밸류)",강남구,EDIYA,37.4953323,127.0303725
34,을지병원사거리점,서울 강남구 도산대로30길 7 (논현동),강남구,EDIYA,37.5194023,127.0294305
35,이디야커피랩,"서울 강남구 논현로 636 (논현동, 이디야빌딩)",강남구,EDIYA,37.5104871,127.0329436
36,일원동점,서울 강남구 양재대로27길 20 (일원동),강남구,EDIYA,37.4906985,127.0883948
37,청담사거리점,서울 강남구 도산대로 521 (청담동),강남구,EDIYA,37.524866,127.050373
38,청담역점,"서울 강남구 삼성로 721 (청담동, 룩희 819)",강남구,EDIYA,37.5200681,127.0491634
39,포이사거리점,서울 강남구 개포로 218 (개포동),강남구,EDIYA,37.478468,127.046625
40,학동역점,"서울 강남구 학동로 219 (논현동, 국제빌딩)",강남구,EDIYA,37.5097925,127.021578
41,학동제마점,서울 강남구 학동로34길 22 (논현동),강남구,EDIYA,37.51313870000001,127.03365
42,한티역점,서울 강남구 도곡로69길 8 (대치동),강남구,EDIYA,37.4979551,127.0561304
43,4.19사거리점,서울 강북구 삼양로 501 (수유동),강북구,EDIYA,37.6478893,127.0142292
44,가오리역점,서울 강북구 삼각산로 108 (수유동),강북구,EDIYA,37.6405388,127.0161692
45,강북경찰서점,서울 강북구 오패산로 403 (번동),강북구,EDIYA,37.63687110000001,127.0269947
46,미아꿈의숲해링턴점,"서울 강북구 오현로 45 (미아동, 꿈의숲 해링턴 플레이스)",강북구,EDIYA,37.6185566,127.034085
47,미아역점,서울 강북구 도봉로 207 -3(미아동),강북구,EDIYA,37.6271102,127.0254395
48,미아중앙점,서울 강북구 도봉로 128 (미아동),강북구,EDIYA,37.6204645,127.0287631
49,번동점,"서울 강북구 오현로 194 (번동, 덕수빌딩)",강북구,EDIYA,37.6288338,127.0398506
50,북한산점,서울 강북구 4.19로 85 (수유동),강북구,EDIYA,37.6447499,127.0056031
51,삼각산점,서울 강북구 솔샘로40길 3 (미아동),강북구,EDIYA,37.6199203,127.0160107
52,삼양사거리점,"서울 강북구 솔샘로 254 (미아동, 삼양아케이트)",강북구,EDIYA,37.6193347,127.0207972
53,삼양시장점,"서울 강북구 삼양로 234 (미아동, 대건빌딩)",강북구,EDIYA,37.6242043,127.0187369
54,수유1동점,서울 강북구 삼양로 293 (수유동),강북구,EDIYA,37.6297285,127.0177071
55,수유사거리점,"서울 강북구 덕릉로 82 (수유동, 제네스타워)",강북구,EDIYA,37.6344033,127.0228501
56,수유역점,서울 강북구 도봉로 355 (수유동),강북구,EDIYA,37.6393918,127.026749
57,우이역도선사점,서울 강북구 삼양로173길 21 (우이동),강북구,EDIYA,37.6625002,127.0113047
58,한신대점,서울 강북구 덕릉로 31 (수유동),강북구,EDIYA,37.6342221,127.0169343
59,가양역점,서울 강서구 양천로 500 (등촌동),강서구,EDIYA,37.5575223,126.8559611
60,강서nc점,서울 강서구 강서로54길 11 (등촌동),강서구,EDIYA,37.5593356,126.839278
61,강서가양동점,"서울 강서구 강서로 511 (가양동, 한림타운)",강서구,EDIYA,37.5709433,126.8413819
62,강서교차로점,"서울 강서구 공항대로 437 (등촌동, 주신기업(주))",강서구,EDIYA,37.5550159,126.8559101
63,강서구청점,"서울 강서구 화곡로 292 (화곡동, 서광프리메라)",강서구,EDIYA,37.5501456,126.8485937
64,강서한강자이점,서울 강서구 양천로 401 (가양동),강서구,EDIYA,37.5678802,126.8510787
65,개화산역점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",강서구,EDIYA,37.572254,126.8070962
66,개화산점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",강서구,EDIYA,37.572254,126.8070962
67,곰달래사거리점,서울 강서구 곰달래로 52 (화곡동),강서구,EDIYA,37.52990370000001,126.8386126
68,공항시장역점,"서울 강서구 방화동로 37 (방화동, 메디스타워)",강서구,EDIYA,37.5640044,126.8107915
69,까치산로점,서울 강서구 까치산로 182 (화곡동),강서구,EDIYA,37.5533188,126.8538953
70,까치산역점,서울 강서구 강서로17길 6 (화곡동),강서구,EDIYA,37.5334091,126.8452244
71,내발산점,"서울 강서구 강서로 304 (내발산동, 영종빌딩)",강서구,EDIYA,37.5527284,126.8365671
72,등촌3동점,서울 강서구 공항대로41길 34 (등촌동),강서구,EDIYA,37.5593008,126.845731
